FundType,PFId,PrjCode,AllSrc,PrjTitle,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLocBenClustAgg1,AdmLocCord1,AdmLocClustBdg1,AYr,PrjCycleStatus
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Al Hudaydah,0##0##0##0|||221##221##269##249|||0##0##0##0,"15.00062889,43.04031959",0.00|||49955.37|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Al Hudaydah,0##0##0##0|||343##343##418##388|||0##0##0##0,"15.00062889,43.04031959",0.00|||77708.35|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Al Hudaydah,0##0##0##0|||441##441##537##499|||0##0##0##0,"15.00062889,43.04031959",0.00|||99910.73|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Al Hudaydah,0##0##0##0|||613##613##746##693|||0##0##0##0,"15.00062889,43.04031959",0.00|||138764.91|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Al Hudaydah,2027##2159##2637##2427|||0##0##0##0|||0##0##0##0,"15.00062889,43.04031959",131532.31|||0.00|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Al Hudaydah,3763##4008##4895##4494|||833##833##1014##942|||0##0##0##0,"15.00062889,43.04031959",85109.14|||188720.27|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Hajjah,4715##5031##5877##5737|||0##0##0##0|||0##0##0##0,"16.27488061,43.11225315",201167.06|||0.00|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Marib,1727##1801##2562##2907|||0##0##0##0|||0##0##0##0,"15.56841151,45.76081505",92846.34|||0.00|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Marib,1920##1920##2880##2880|||0##0##0##0|||0##0##0##0,"15.56841151,45.76081505",92846.34|||0.00|||0.00,2023,Implementation & Reporting
CBPF,64,CBPF-YEM-23-R-INGO-24997,1,"Provision of emergency flood preparedness and response support across CCCM, Shelter/NFI and WASH sectors for the most vulnerable and at-risk displaced populations in Marib, Al Hodeidah and Hajjah",1|||4|||11,46.00|||33.00|||21.00,31##32##,Marib,3320##3411##5022##4779|||0##0##0##0|||1326##1417##2032##1789,"15.56841151,45.76081505",162481.09|||0.00|||353219.76,2023,Implementation & Reporting
