FundType,PFId,PrjCode,AllSrc,PrjTitle,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLocBenClustAgg1,AdmLocCord1,AdmLocClustBdg1,AYr,PrjCycleStatus
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Blue Nile,25957##27017##17305##18011,"11.58600780,34.15319470",569998.03,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Blue Nile,8657##9001##5771##6001,"11.58600780,34.15319470",379998.68,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Central Darfur,8652##9006##5768##6004,"12.33330000,23.41670000",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Gedaref,8652##9006##5768##6004,"14.03333300,35.38333300",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Kassala,8652##9006##5768##6004,"15.45000000,36.40000000",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,North Darfur,8652##9006##5768##6004,"15.76619690,24.90422080",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Red Sea,8652##9006##5768##6004,"19.45560630,35.21484690",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Sennar,17305##18011##11537##12007,"13.56746900,33.56720450",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Sennar,17305##18011##11537##12007,"13.56746900,33.56720450",379998.68,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RA2/FSL/UN/17605,1,Agriculture and livestock based livelihood support for flood affected food insecure households in Sudan.,6,100,69##70##,Sennar,8652##9006##5768##6004,"13.56746900,33.56720450",189999.34,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15049,1,Emergency response to support Desert Locust control operations and mitigate the impact of crop and pasture losses on food security and rural livelihoods in Sudan,6,100,69##70##,Gedaref,215013##223789##92150##95905,"14.03333300,35.38333300",100000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15049,1,Emergency response to support Desert Locust control operations and mitigate the impact of crop and pasture losses on food security and rural livelihoods in Sudan,6,100,69##70##,Kassala,215012##223788##92148##95910,"15.45000000,36.40000000",100000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15049,1,Emergency response to support Desert Locust control operations and mitigate the impact of crop and pasture losses on food security and rural livelihoods in Sudan,6,100,69##70##,Nile,430024##447576##184295##191818,"18.73255980,32.13816860",200000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15049,1,Emergency response to support Desert Locust control operations and mitigate the impact of crop and pasture losses on food security and rural livelihoods in Sudan,6,100,69##70##,Northern,430023##447576##184295##191820,"18.44489630,30.15893030",200000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15049,1,Emergency response to support Desert Locust control operations and mitigate the impact of crop and pasture losses on food security and rural livelihoods in Sudan,6,100,69##70##,Red Sea,860047##895151##368592##383637,"19.45560630,35.21484690",400000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15715,1,Strengthening Desert Locust Surveillance and Control Operations to Prevent and Mitigating the Impact of outbreaks on Food Security and Rural Livelihoods in Sudan.,6,100,69##70##,Blue Nile,188057##195733##125371##130489,"11.58600780,34.15319470",168000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15715,1,Strengthening Desert Locust Surveillance and Control Operations to Prevent and Mitigating the Impact of outbreaks on Food Security and Rural Livelihoods in Sudan.,6,100,69##70##,East Darfur,188057##195733##125371##130489,"14.37827470,24.90422080",168000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15715,1,Strengthening Desert Locust Surveillance and Control Operations to Prevent and Mitigating the Impact of outbreaks on Food Security and Rural Livelihoods in Sudan.,6,100,69##70##,Gedaref,188057##195733##125371##130489,"14.03333300,35.38333300",168000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15715,1,Strengthening Desert Locust Surveillance and Control Operations to Prevent and Mitigating the Impact of outbreaks on Food Security and Rural Livelihoods in Sudan.,6,100,69##70##,Kassala,188057##195733##125371##130489,"15.45000000,36.40000000",168000,2020,Under Final Reporting
CBPF,15,SUD-20/HSD20/RE/FSL/UN/15715,1,Strengthening Desert Locust Surveillance and Control Operations to Prevent and Mitigating the Impact of outbreaks on Food Security and Rural Livelihoods in Sudan.,6,100,69##70##,Nile,188057##195733##125371##130489,"18.73255980,32.13816860",168000,2020,Under Final Reporting
