FundId,PFId,PrjCode,AllSrc,PrjTitle,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,ProcessStatus,SubIPName
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Abyei,,,,,,22##43##50##50,,,,,,"9.59500000,28.43600000",,,,,,1962.96,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Al Gezira,,,,,,799##1544##1794##1824,,,,,,"14.02028570,33.08658440",,,,,,71749.49,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Blue Nile,,,,,,208##401##467##474,,,,,,"11.58600780,34.15319470",,,,,,18681.94,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Central Darfur,,,,,,360##696##810##824,,,,,,"12.33330000,23.41670000",,,,,,32354.96,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,East Darfur,,,,,,204##394##458##466,,,,,,"14.37827470,24.90422080",,,,,,18343.5,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Gedaref,,,,,,318##614##713##725,,,,,,"14.03333300,35.38333300",,,,,,28496.73,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Kassala,,,,,,377##729##847##861,,,,,,"15.45000000,36.40000000",,,,,,33844.1,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Khartoum,,,,,,605##1169##1359##1382,,,,,,"15.56666700,32.51666700",,,,,,54353.62,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Nile,,,,,,253##488##569##578,,,,,,"18.73255980,32.13816860",,,,,,22743.23,,,,,,2020,Project Closed,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,North Darfur,,,,,,610##1179##1371##1393,,,,,,"15.76619690,24.90422080",,,,,,54759.75,,,,,,2020,Project Closed,Org1
