FundId,PFId,PrjCode,AllSrc,PrjTitle,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLocCord1,AdmLocClustBdg1,AYr,PrjCycleStatus,SubIPName
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Abyei,"9.59500000,28.43600000",1962.96,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Al Gezira,"14.02028570,33.08658440",71749.49,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Blue Nile,"11.58600780,34.15319470",18681.94,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Central Darfur,"12.33330000,23.41670000",32354.96,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,East Darfur,"14.37827470,24.90422080",18343.5,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Gedaref,"14.03333300,35.38333300",28496.73,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Kassala,"15.45000000,36.40000000",33844.1,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Khartoum,"15.56666700,32.51666700",54353.62,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Nile,"18.73255980,32.13816860",22743.23,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,North Darfur,"15.76619690,24.90422080",54759.75,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,North Kordofan,"13.83064410,29.41793240",21186.41,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Northern,"18.44489630,30.15893030",16515.92,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Red Sea,"19.45560630,35.21484690",25450.76,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,Sennar,"13.56746900,33.56720450",27684.47,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,South Darfur,"11.64886390,24.90422080",80752.02,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,South Kordofan,"11.19901920,29.41793240",57873.41,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,West Darfur,"12.84635610,23.00119890",27887.54,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,West Kordofan,"11.89871900,28.12255600",48194,2020,Under Approval,Org1
1,15,SUD-20/HSD20/RA 3/CCS/UN/17190,1,2020 Multi Sector Needs Assessment to inform the HNO and HRP processes in Sudan,12,100,69##,White Nile,"13.24038810,32.53727410",34047.16,2020,Under Approval,Org1
1,21,SOM-20/3485/RA1/EP/INGO/17946,1,Support to the Somalia NGO Consortium,13,100,1##,Banadir,"2.11500000,45.46700000",195000,2020,Under Implementation,Org2
1,21,SOM-20/3485/RA1/EP/INGO/17946,1,Support to the Somalia NGO Consortium,13,100,1##,Woqooyi Galbeed,"9.75500000,43.91000000",195000,2020,Under Implementation,Org2
1,24,DRC-20/HCG10/RA7/NFI-PROT/INGO/17990,1,Appui Ã  la coordination des Clusters Protection et Abris/AME en RDC,4|||10,30.00|||70.00,65##,Kasai,"-6.42357200,20.79535900",36513.82|||36513.82,2020,Project Closed,Org3
1,24,DRC-20/HCG10/RA7/NFI-PROT/INGO/17990,1,Appui Ã  la coordination des Clusters Protection et Abris/AME en RDC,4|||10,30.00|||70.00,65##,Kinshasa,"-4.33950200,15.30948300",36513.82|||36513.82,2020,Project Closed,Org3
1,24,DRC-20/HCG10/RA7/NFI-PROT/INGO/17990,1,Appui Ã  la coordination des Clusters Protection et Abris/AME en RDC,4|||10,30.00|||70.00,65##,Nord-Kivu,"-1.68820000,29.23710000",73027.63|||73027.63,2020,Project Closed,Org3
1,24,DRC-20/HCG10/RA7/NFI-PROT/INGO/17990,1,Appui Ã  la coordination des Clusters Protection et Abris/AME en RDC,4|||10,30.00|||70.00,65##,Sud-Kivu,"-2.50002100,28.86666700",36513.82|||36513.82,2020,Project Closed,Org3
1,24,DRC-20/HCG10/RA7/NUT/INGO/17987,1,IM &amp; Co-facilitateur Cluster Nutrition RDC,9,100,65##,Kinshasa,"-4.33950200,15.30948300",187999.98,2020,Project Closed,Org4
1,24,DRC-20/HCG10/RA7/PROT/NGO/17986,1,"Appui Ã  lâ€™amÃ©lioration de fonctionnement du GTPE Ituri : Coordination dâ€™activitÃ©s humanitaires, co-facilitation et gestion de lâ€™information",10,100,65##,Ituri,"1.56248900,30.24842700",50000.01,2020,Project Closed,Org4
1,24,DRC-20/HCG10/RA7/PROT/NGO/18000,1,Renforcement de la coordination sectorielle au travers la co-facilitation dans le hub rÃ©gional nord est et la gestion d'information au sein du Sous Cluster VBG,10,100,65##,Kinshasa,"-4.33950200,15.30948300",58081.74,2020,Project Closed,Org5
1,24,DRC-20/HCG10/RA7/PROT/NGO/18000,1,Renforcement de la coordination sectorielle au travers la co-facilitation dans le hub rÃ©gional nord est et la gestion d'information au sein du Sous Cluster VBG,10,100,65##,Nord-Kivu,"-1.68820000,29.23710000",135524.06,2020,Project Closed,Org6
1,24,DRC-20/HCG10/RA7/WaSH/INGO/17984,1,Renforcement de la Coordination du Cluster EHA National et des Sous Clusters RÃ©gionaux de la RDC Ã  travers la Co-facilitation et la Gestion de lâ€™Information dÃ©diÃ©es,11,100,65##,Kinshasa,"-4.33950200,15.30948300",290050.08,2020,Project Closed,
