PooledFundId,CHFId,CHFProjectCode,OrganizationTypeId,AllocationYear,AllocationSourceName,CVATypeId,ClusterId,TargetedTransferAmt,ReachedTransferAmt,PeopleTargeted,PeopleReached
23,26924,CBPF-AFG-23-R-INGO-26924,2,2023,1,4,6,536250,455812.5,25025,22523
23,26954,CBPF-AFG-23-R-INGO-26954,2,2023,1,4,6,375000,318750,35000,31500
23,25999,CBPF-AFG-23-R-NGO-25999,1,2023,1,1,4,501930,426640.5,2160,1944
23,26010,CBPF-AFG-23-R-NGO-26010,1,2023,1,4,6,334800,284580,15624,14062
23,26021,CBPF-AFG-23-R-NGO-26021,1,2023,1,1,4,389418,331005.3,3250,2925
23,26023,CBPF-AFG-23-R-NGO-26023,1,2023,1,4,6,349500,297075,16310,14679
23,26729,CBPF-AFG-23-R-UN-26729,3,2023,1,4,4,82500,70125,3500,3150
23,26733,CBPF-AFG-23-R-UN-26733,3,2023,1,4,4,131100,111435,16100,14490
23,26733,CBPF-AFG-23-R-UN-26733,3,2023,1,4,4,170200,144670,16100,14490
23,26733,CBPF-AFG-23-R-UN-26733,3,2023,1,4,4,460000,391000,16100,14490
23,26740,CBPF-AFG-23-R-UN-26740,3,2023,1,4,6,92098,78283.3,7908,7117
23,26942,CBPF-AFG-23-R-UN-26942,3,2023,1,4,4,595707,506350.95,11025,9923
23,26299,CBPF-AFG-23-S-INGO-26299,2,2023,2,4,6,521550,443317.5,32452,29207
23,26301,CBPF-AFG-23-S-INGO-26301,2,2023,2,4,4,519426,441512.1,11949,10754
23,26303,CBPF-AFG-23-S-INGO-26303,2,2023,2,4,4,403820,343247,8540,7686
23,26305,CBPF-AFG-23-S-INGO-26305,2,2023,2,4,4,565017,480264.45,11949,10754
23,26310,CBPF-AFG-23-S-INGO-26310,2,2023,2,4,4,267418,227305.3,7280,6552
23,26319,CBPF-AFG-23-S-INGO-26319,2,2023,2,5,4,403820,343247,8540,7686
23,26320,CBPF-AFG-23-S-INGO-26320,2,2023,2,4,6,371250,315562.5,3300,2970
23,26327,CBPF-AFG-23-S-INGO-26327,2,2023,2,1,7,4653,3955.05,45,41
23,26328,CBPF-AFG-23-S-INGO-26328,2,2023,2,4,4,518538,440757.3,11949,10754
23,26330,CBPF-AFG-23-S-INGO-26330,2,2023,2,4,4,518538,440757.3,11949,10754
23,26333,CBPF-AFG-23-S-INGO-26333,2,2023,2,4,6,489938,416447.3,4355,3920
23,26334,CBPF-AFG-23-S-INGO-26334,2,2023,2,4,6,318375,270618.75,29610,26649
23,26337,CBPF-AFG-23-S-INGO-26337,2,2023,2,4,4,460832,391707.2,10619,9557
23,26348,CBPF-AFG-23-S-INGO-26348,2,2023,2,4,4,567996,482796.6,12012,10811
23,26352,CBPF-AFG-23-S-INGO-26352,2,2023,2,4,6,368662,313362.7,22939,20645
23,26353,CBPF-AFG-23-S-INGO-26353,2,2023,2,4,4,526621,447627.85,1591,1432
23,26355,CBPF-AFG-23-S-INGO-26355,2,2023,2,4,4,370637,315041.45,8540,7686
23,26359,CBPF-AFG-23-S-INGO-26359,2,2023,2,4,6,461250,392062.5,28700,25830
23,26362,CBPF-AFG-23-S-INGO-26362,2,2023,2,4,4,245396,208586.6,6545,5891
23,26364,CBPF-AFG-23-S-INGO-26364,2,2023,2,4,4,546150,464227.5,11550,10395
23,26367,CBPF-AFG-23-S-INGO-26367,2,2023,2,1,4,341400,290190,11949,10754
23,26381,CBPF-AFG-23-S-INGO-26381,2,2023,2,1,4,477408,405796.8,12747,11472
23,26384,CBPF-AFG-23-S-INGO-26384,2,2023,2,4,4,244000,207400,1220,1098
23,26386,CBPF-AFG-23-S-INGO-26386,2,2023,2,4,6,434250,369112.5,27020,24318
23,26387,CBPF-AFG-23-S-INGO-26387,2,2023,2,4,4,567996,482796.6,12012,10811
23,26388,CBPF-AFG-23-S-INGO-26388,2,2023,2,4,4,546150,464227.5,11550,10395
23,26389,CBPF-AFG-23-S-INGO-26389,2,2023,2,4,4,78000,66300,3502,3152
23,26389,CBPF-AFG-23-S-INGO-26389,2,2023,2,4,4,372706,316800.1,7880,7092
23,26393,CBPF-AFG-23-S-INGO-26393,2,2023,2,3,6,337500,286875,21000,18900
23,26395,CBPF-AFG-23-S-INGO-26395,2,2023,2,4,6,355725,302366.25,22136,19922
23,26397,CBPF-AFG-23-S-INGO-26397,2,2023,2,3,6,511875,435093.75,31850,28665
23,26407,CBPF-AFG-23-S-INGO-26407,2,2023,2,4,6,522563,444178.55,32515,29264
23,26408,CBPF-AFG-23-S-INGO-26408,2,2023,2,3,6,515587,438248.95,32081,28873
23,26420,CBPF-AFG-23-S-INGO-26420,2,2023,2,4,4,501249,426061.65,11550,10395
23,26426,CBPF-AFG-23-S-INGO-26426,2,2023,2,4,4,518538,440757.3,11950,10755
23,26306,CBPF-AFG-23-S-NGO-26306,1,2023,2,4,4,518512,440735.2,11949,10754
23,26339,CBPF-AFG-23-S-NGO-26339,1,2023,2,4,6,298350,253597.5,18564,16708
23,26344,CBPF-AFG-23-S-NGO-26344,1,2023,2,1,6,360000,306000,22400,20160
23,26354,CBPF-AFG-23-S-NGO-26354,1,2023,2,4,6,399038,339182.3,24829,22346
23,26357,CBPF-AFG-23-S-NGO-26357,1,2023,2,4,6,366750,311737.5,22820,20538
23,26365,CBPF-AFG-23-S-NGO-26365,1,2023,2,1,10,4500,3825,1500,1350
23,26365,CBPF-AFG-23-S-NGO-26365,1,2023,2,1,10,10500,8925,1500,1350
23,26365,CBPF-AFG-23-S-NGO-26365,1,2023,2,1,10,15000,12750,1500,1350
23,26402,CBPF-AFG-23-S-NGO-26402,1,2023,2,1,6,433125,368156.25,26950,24255
23,26406,CBPF-AFG-23-S-NGO-26406,1,2023,2,4,4,505768,429902.8,10696,9626
23,26428,CBPF-AFG-23-S-NGO-26428,1,2023,2,1,4,479950,407957.5,10150,9135
23,26435,CBPF-AFG-23-S-NGO-26435,1,2023,2,4,6,493607,419565.95,23016,20714
23,26302,CBPF-AFG-23-S-UN-26302,3,2023,2,4,4,2785000,2367250,80150,72135
23,26312,CBPF-AFG-23-S-UN-26312,3,2023,2,4,4,365750,310887.5,4655,4190
23,26312,CBPF-AFG-23-S-UN-26312,3,2023,2,4,4,854700,726495,80850,72765
23,26312,CBPF-AFG-23-S-UN-26312,3,2023,2,4,4,3750000,3187500,131250,118125
23,26321,CBPF-AFG-23-S-UN-26321,3,2023,2,1,4,330000,280500,4200,3780
23,26329,CBPF-AFG-23-S-UN-26329,3,2023,2,4,6,14198625,12068831.25,883470,795123
23,26332,CBPF-AFG-23-S-UN-26332,3,2023,2,1,4,330000,280500,4200,3780
23,28036,CBPF-AFG-24-R-INGO-28036,2,2024,1,4,10,84000,71400,420,378
23,28075,CBPF-AFG-24-R-INGO-28075,2,2024,1,1,4,79365,67460.25,3367,3030
23,28075,CBPF-AFG-24-R-INGO-28075,2,2024,1,1,4,448350,381097.5,9072,8165
23,28087,CBPF-AFG-24-R-INGO-28087,2,2024,1,4,6,591360,502656,17555,15800
23,28093,CBPF-AFG-24-R-INGO-28093,2,2024,1,1,4,132000,112200,2800,2520
23,28093,CBPF-AFG-24-R-INGO-28093,2,2024,1,1,4,349635,297189.75,14833,13350
23,28152,CBPF-AFG-24-R-INGO-28152,2,2024,1,1,4,457975,389278.75,9260,8334
23,28041,CBPF-AFG-24-R-NGO-28041,1,2024,1,4,6,192000,163200,4200,3780
23,28141,CBPF-AFG-24-R-NGO-28141,1,2024,1,1,4,375100,318835,5614,5053
23,28141,CBPF-AFG-24-R-NGO-28141,1,2024,1,4,6,224000,190400,9800,8820
23,28158,CBPF-AFG-24-R-NGO-28158,1,2024,1,4,6,490240,416704,21448,19303
23,28195,CBPF-AFG-24-R-NGO-28195,1,2024,1,1,10,1200,1020,600,540
23,28195,CBPF-AFG-24-R-NGO-28195,1,2024,1,1,10,3000,2550,300,270
23,28195,CBPF-AFG-24-R-NGO-28195,1,2024,1,4,6,93120,79152,2037,1833
23,27995,CBPF-AFG-24-R-UN-27995,3,2024,1,1,4,370150,314627.5,673,606
