PooledFundId,CHFId,ChfProjectCode,OrganizationTypeId,AllocationYear,CVATypeId,ClusterId,PeopleTargeted,TransferAmount,PeopleReached,TotalAmtTransferred
16,24814,CBPF-SUD-23-R-INGO-24814,2,2023,1,219,4431,117083,0,0
16,25583,CBPF-SUD-23-R-INGO-25583,2,2023,1,226,66500,1425000,66829,1425000
16,25662,CBPF-SUD-23-R-NGO-25662,1,2023,3,226,250,60000,436,52502
16,25665,CBPF-SUD-23-R-INGO-25665,2,2023,1,226,13860,499800,14206,499800
16,25667,CBPF-SUD-23-R-NGO-25667,1,2023,3,215,1000,510000,868,203643
16,25716,CBPF-SUD-23-R-INGO-25716,2,2023,3,226,1080,300000,1356,300000
16,25716,CBPF-SUD-23-R-INGO-25716,2,2023,4,226,1080,36000,1356,36000
16,25758,CBPF-SUD-23-R-INGO-25758,2,2023,2,226,2000,220000,4435,198220
16,26065,CBPF-SUD-23-R-UN-26065,3,2023,2,226,2000,400000,0,0
16,26165,CBPF-SUD-23-R-UN-26165,3,2023,2,226,3075,400000,3075,400000
16,26418,CBPF-SUD-23-R-O-26418,4,2023,1,215,3960,66000,0,0
16,26863,CBPF-SUD-23-R-INGO-26863,2,2023,1,220,36,1599,36,1599
16,26863,CBPF-SUD-23-R-INGO-26863,2,2023,1,226,36,3198,36,3198
16,27453,CBPF-SUD-23-R-INGO-27453,2,2023,1,215,600,149650,0,0
16,27487,CBPF-SUD-23-R-INGO-27487,2,2023,1,215,600,149600,0,0
16,27541,CBPF-SUD-23-R-INGO-27541,2,2023,1,219,2099,299885,0,0
16,27542,CBPF-SUD-23-R-INGO-27542,2,2023,1,219,200,60000,0,0
16,27543,CBPF-SUD-23-R-INGO-27543,2,2023,1,219,200,60000,0,0
16,27548,CBPF-SUD-23-R-INGO-27548,2,2023,1,215,1634,232626,4554,258798
16,27549,CBPF-SUD-23-R-INGO-27549,2,2023,1,215,6000,12000,0,0
16,27550,CBPF-SUD-23-R-INGO-27550,2,2023,1,220,4200,63000,4200,63642
16,27556,CBPF-SUD-23-R-INGO-27556,2,2023,1,215,600,50000,1176,79747
16,27561,CBPF-SUD-23-R-INGO-27561,2,2023,1,226,2700,157500,0,0
16,27593,CBPF-SUD-24-R-INGO-27593,2,2024,2,215,15550,380328,18780,229014
16,27594,CBPF-SUD-24-R-INGO-27594,2,2024,2,215,1200,163960,0,0
16,27598,CBPF-SUD-24-R-INGO-27598,2,2024,2,215,4098,78415,4098,78415
16,27599,CBPF-SUD-24-R-INGO-27599,2,2024,3,215,546,52553,0,0
16,27600,CBPF-SUD-24-R-INGO-27600,2,2024,1,215,1236,166860,0,0
16,27600,CBPF-SUD-24-R-INGO-27600,2,2024,2,215,15697,149400,0,0
16,27601,CBPF-SUD-24-R-INGO-27601,2,2024,2,215,1100,91300,0,0
16,27602,CBPF-SUD-24-R-INGO-27602,2,2024,1,215,5170,180000,5170,188000
16,27603,CBPF-SUD-24-R-INGO-27603,2,2024,4,215,18518,346450,0,0
16,27608,CBPF-SUD-24-R-INGO-27608,2,2024,1,215,600,69000,0,0
16,27610,CBPF-SUD-24-R-INGO-27610,2,2024,5,215,900,137700,0,0
16,27611,CBPF-SUD-24-R-INGO-27611,2,2024,2,215,300,54000,0,0
16,27611,CBPF-SUD-24-R-INGO-27611,2,2024,2,215,6250,127353,0,0
16,27615,CBPF-SUD-24-R-INGO-27615,2,2024,2,215,10800,562500,91895,309326
16,27615,CBPF-SUD-24-R-INGO-27615,2,2024,2,219,1762,120000,0,12000
16,27619,CBPF-SUD-24-R-INGO-27619,2,2024,1,215,1068,140976,0,0
16,27622,CBPF-SUD-24-R-INGO-27622,2,2024,3,219,303044,357400,29705,125000
16,27624,CBPF-SUD-24-R-INGO-27624,2,2024,1,215,2016,93600,0,0
16,33295,CBPF-SUD-24-R-INGO-33295,2,2024,3,226,200,144000,0,0
16,33295,CBPF-SUD-24-R-INGO-33295,2,2024,3,226,1600,320000,0,0
16,33345,CBPF-SUD-24-R-INGO-33345,2,2024,1,6371,1540,492800,0,0
16,33368,CBPF-SUD-24-R-INGO-33368,2,2024,1,6371,12000,640000,0,0
16,33379,CBPF-SUD-24-R-INGO-33379,2,2024,1,6371,11750,235000,0,0
16,33400,CBPF-SUD-24-R-INGO-33400,2,2024,1,6371,5000,481950,0,0
16,33410,CBPF-SUD-24-R-UN-33410,3,2024,5,219,11750,2115000,1088,195840
16,33411,CBPF-SUD-24-R-INGO-33411,2,2024,3,226,180,36000,180,37000
16,33478,CBPF-SUD-24-R-INGO-33478,2,2024,4,226,1705,221650,0,0
16,33479,CBPF-SUD-24-R-INGO-33479,2,2024,2,328,150,5000,0,0
16,33507,CBPF-SUD-24-R-INGO-33507,2,2024,1,6371,4080,324892,0,0
16,33507,CBPF-SUD-24-R-INGO-33507,2,2024,1,6371,3600,345485,0,0
16,33513,CBPF-SUD-24-R-INGO-33513,2,2024,2,219,150,40500,0,0
16,33543,CBPF-SUD-24-R-NGO-33543,1,2024,1,329,100,10000,0,0
16,34418,CBPF-SUD-24-R-INGO-34418,2,2024,2,215,28000,525000,0,0
16,34418,CBPF-SUD-24-R-INGO-34418,2,2024,2,219,1575,252000,0,0
16,34420,CBPF-SUD-24-R-INGO-34420,2,2024,3,226,600,10800,0,0
16,34448,CBPF-SUD-24-R-INGO-34448,2,2024,2,219,3220,70000,0,0
16,34448,CBPF-SUD-24-R-INGO-34448,2,2024,2,220,5750,125000,0,0
16,34448,CBPF-SUD-24-R-INGO-34448,2,2024,2,215,7590,495000,0,0
16,34451,CBPF-SUD-24-R-INGO-34451,2,2024,3,219,143000,650000,0,0
16,34610,CBPF-SUD-24-R-INGO-34610,2,2024,1,6371,1200,360000,0,0
16,34613,CBPF-SUD-24-R-INGO-34613,2,2024,1,6371,1500,136500,0,0
16,34631,CBPF-SUD-24-R-INGO-34631,2,2024,1,6371,1500,136500,0,0
16,35054,CBPF-SUD-25-S-INGO-35054,2,2025,1,6371,9600,416000,0,0
16,35068,CBPF-SUD-25-S-INGO-35068,2,2025,1,6371,18450,369000,0,0
18,26200,CBPF-CAR-23-S-INGO-26200,2,2023,1,173,787,6296,0,0
18,26202,CBPF-CAR-23-S-INGO-26202,2,2023,5,182,268,33285,216,546374
18,26202,CBPF-CAR-23-S-INGO-26202,2,2023,5,182,210,49347,251,297977
18,26205,CBPF-CAR-23-S-INGO-26205,2,2023,2,182,120,9918,61,6958
18,26210,CBPF-CAR-23-S-INGO-26210,2,2023,3,182,125,12690,125,12690
18,26210,CBPF-CAR-23-S-INGO-26210,2,2023,3,182,210,11100,210,15872
18,26210,CBPF-CAR-23-S-INGO-26210,2,2023,2,182,358,14533,358,3379
18,26210,CBPF-CAR-23-S-INGO-26210,2,2023,5,182,50,3012,50,3012
18,26210,CBPF-CAR-23-S-INGO-26210,2,2023,5,182,700,35661,800,40755
18,26217,CBPF-CAR-23-S-INGO-26217,2,2023,2,182,320,8000,325,6788
18,26217,CBPF-CAR-23-S-INGO-26217,2,2023,1,182,60,6000,250,12283
18,26220,CBPF-CAR-23-S-NGO-26220,1,2023,2,173,681,17025,0,0
18,26221,CBPF-CAR-23-S-INGO-26221,2,2023,1,182,150,26294,0,0
18,26222,CBPF-CAR-23-S-NGO-26222,1,2023,2,182,20,5925,20,5925
18,26240,CBPF-CAR-23-S-NGO-26240,1,2023,2,184,200,23330,0,0
18,26246,CBPF-CAR-23-S-INGO-26246,2,2023,3,184,300,25000,0,0
18,26256,CBPF-CAR-23-S-INGO-26256,2,2023,3,184,400,6638,400,6638
18,26262,CBPF-CAR-23-S-INGO-26262,2,2023,1,182,300,15000,0,0
18,26283,CBPF-CAR-23-S-NGO-26283,1,2023,1,176,15,225,15,225
18,26288,CBPF-CAR-23-S-UN-26288,3,2023,1,182,150,10000,0,0
18,26294,CBPF-CAR-23-S-UN-26294,3,2023,1,173,5269,105200,0,0
18,27567,CBPF-CAR-24-R-INGO-27567,2,2024,2,332,640,42520,508,17934
18,27569,CBPF-CAR-24-R-NGO-27569,1,2024,1,332,200,5000,0,0
18,27574,CBPF-CAR-24-R-INGO-27574,2,2024,1,332,300,34000,300,34000
18,32989,CBPF-CAR-24-S-INGO-32989,2,2024,2,332,180,4500,30,703
18,32989,CBPF-CAR-24-S-INGO-32989,2,2024,1,332,72,3000,0,0
18,32994,CBPF-CAR-24-S-NGO-32994,1,2024,1,332,200,5000,0,0
18,32997,CBPF-CAR-24-S-INGO-32997,2,2024,5,179,25039,360804,0,0
18,32999,CBPF-CAR-24-S-INGO-32999,2,2024,1,332,391,35745,0,0
18,33002,CBPF-CAR-24-S-INGO-33002,2,2024,2,332,60,10916,28,587
18,33005,CBPF-CAR-24-S-INGO-33005,2,2024,2,332,350,10500,0,0
18,33015,CBPF-CAR-24-S-NGO-33015,1,2024,5,332,2000,20000,0,0
18,33015,CBPF-CAR-24-S-NGO-33015,1,2024,5,179,400,2000,250,500
18,33065,CBPF-CAR-24-S-INGO-33065,2,2024,1,332,1000,90000,0,0
18,33152,CBPF-CAR-24-S-INGO-33152,2,2024,2,332,190,20200,0,0
18,33169,CBPF-CAR-24-S-INGO-33169,2,2024,1,173,1700,35700,0,0
18,33169,CBPF-CAR-24-S-INGO-33169,2,2024,2,182,325,9750,12,400
18,33169,CBPF-CAR-24-S-INGO-33169,2,2024,1,182,175,5250,5,150
18,33175,CBPF-CAR-24-S-NGO-33175,1,2024,1,179,1125,37894,1125,37894
18,33177,CBPF-CAR-24-S-NGO-33177,1,2024,1,183,50,3000,27,1620
18,33177,CBPF-CAR-24-S-NGO-33177,1,2024,1,183,50,3000,27,1620
18,33190,CBPF-CAR-24-S-NGO-33190,1,2024,1,182,100,3000,21,444
18,33190,CBPF-CAR-24-S-NGO-33190,1,2024,3,332,32,6327,0,0
18,33202,CBPF-CAR-24-S-NGO-33202,1,2024,1,332,10,1818,0,0
18,33202,CBPF-CAR-24-S-NGO-33202,1,2024,1,332,100,2727,0,0
18,33202,CBPF-CAR-24-S-NGO-33202,1,2024,1,332,100,5000,0,0
18,33217,CBPF-CAR-24-S-INGO-33217,2,2024,1,173,450,134697,0,0
18,33236,CBPF-CAR-24-S-UN-33236,3,2024,3,173,250,125000,0,0
18,33238,CBPF-CAR-24-S-INGO-33238,2,2024,2,179,7800,326310,0,0
18,33244,CBPF-CAR-24-S-INGO-33244,2,2024,2,182,149,14100,0,0
18,34041,CBPF-CAR-24-R-INGO-34041,2,2024,3,332,375,27273,0,0
18,34041,CBPF-CAR-24-R-INGO-34041,2,2024,5,332,700,6363,16,228
20,25185,CBPF-SSD-23-R-NGO-25185,1,2023,1,202,22,100,0,0
20,25187,CBPF-SSD-23-R-NGO-25187,1,2023,5,202,1000,75000,0,0
20,25187,CBPF-SSD-23-R-NGO-25187,1,2023,1,202,1385,138500,0,0
20,25188,CBPF-SSD-23-R-NGO-25188,1,2023,1,210,982,550902,0,0
20,25189,CBPF-SSD-23-R-NGO-25189,1,2023,1,202,2385,138500,0,0
20,25189,CBPF-SSD-23-R-NGO-25189,1,2023,5,202,1000,75000,0,0
20,25190,CBPF-SSD-23-R-UN-25190,3,2023,1,206,2385,758104,0,0
20,25197,CBPF-SSD-23-R-INGO-25197,2,2023,1,210,811,84452,0,0
20,25197,CBPF-SSD-23-R-INGO-25197,2,2023,1,206,787,84452,0,0
20,25197,CBPF-SSD-23-R-INGO-25197,2,2023,1,207,787,84452,0,0
20,25199,CBPF-SSD-23-R-INGO-25199,2,2023,1,206,2385,589200,0,0
20,25201,CBPF-SSD-23-R-INGO-25201,2,2023,1,206,2385,606616,0,0
20,25202,CBPF-SSD-23-R-UN-25202,3,2023,1,210,2382,758104,2385,756560
20,25203,CBPF-SSD-23-R-NGO-25203,1,2023,1,210,613,300000,0,0
20,25346,CBPF-SSD-23-R-INGO-25346,2,2023,2,206,108,10800,108,10800
20,25346,CBPF-SSD-23-R-INGO-25346,2,2023,2,206,100,45000,239,30000
20,25356,CBPF-SSD-23-R-NGO-25356,1,2023,3,206,800,40000,800,40000
20,25358,CBPF-SSD-23-R-NGO-25358,1,2023,2,330,4002,240120,4002,240120
20,25362,CBPF-SSD-23-R-INGO-25362,2,2023,2,206,25,3000,45,1350
20,25371,CBPF-SSD-23-R-INGO-25371,2,2023,2,206,640,32000,640,32000
20,25388,CBPF-SSD-23-R-NGO-25388,1,2023,1,206,1000,360000,0,0
20,25401,CBPF-SSD-23-R-UN-25401,3,2023,1,330,8750,524880,11770,524880
20,25402,CBPF-SSD-23-R-NGO-25402,1,2023,1,330,6000,360000,5209,360000
20,25537,CBPF-SSD-23-R-INGO-25537,2,2023,1,202,16200,804600,15547,804600
20,25559,CBPF-SSD-23-R-INGO-25559,2,2023,2,202,10146,583395,10146,577721
20,25785,CBPF-SSD-23-R-UN-25785,3,2023,2,204,11800,865294,11129,876896
20,25792,CBPF-SSD-23-R-INGO-25792,2,2023,2,206,228,22800,228,22800
20,25792,CBPF-SSD-23-R-INGO-25792,2,2023,2,206,150,15000,220,22000
20,25829,CBPF-SSD-23-R-INGO-25829,2,2023,2,202,24000,298708,24000,314851
20,25831,CBPF-SSD-23-R-NGO-25831,1,2023,2,206,1000,20000,1000,20000
20,26422,CBPF-SSD-23-R-INGO-26422,2,2023,2,206,338,33800,338,25821
20,26434,CBPF-SSD-23-R-NGO-26434,1,2023,1,206,300,45000,0,0
20,26495,CBPF-SSD-23-R-UN-26495,3,2023,2,204,7440,146400,7978,151577
20,26577,CBPF-SSD-23-R-NGO-26577,1,2023,2,206,300,45000,300,45000
20,27494,CBPF-SSD-24-R-UN-27494,3,2024,2,204,4400,79288,4453,84653
20,27494,CBPF-SSD-24-R-UN-27494,3,2024,5,204,10400,343408,11507,365855
20,27501,CBPF-SSD-24-R-INGO-27501,2,2024,3,206,150,45000,150,45000
20,27501,CBPF-SSD-24-R-INGO-27501,2,2024,3,206,40,24000,40,24000
20,27501,CBPF-SSD-24-R-INGO-27501,2,2024,3,206,150,45000,150,45000
20,27501,CBPF-SSD-24-R-INGO-27501,2,2024,3,206,55,8250,55,8250
20,27502,CBPF-SSD-24-R-INGO-27502,2,2024,2,206,560,56000,560,56000
20,32713,CBPF-SSD-24-S-NGO-32713,1,2024,5,206,200,40000,100,12000
20,32721,CBPF-SSD-24-S-INGO-32721,2,2024,2,206,400,28000,0,0
20,32723,CBPF-SSD-24-S-INGO-32723,2,2024,3,206,150,56000,0,0
20,32723,CBPF-SSD-24-S-INGO-32723,2,2024,3,206,100,20000,0,0
20,32724,CBPF-SSD-24-S-INGO-32724,2,2024,3,206,150,15000,0,0
20,32734,CBPF-SSD-24-S-NGO-32734,1,2024,5,206,50,5000,10,100
20,32736,CBPF-SSD-24-S-INGO-32736,2,2024,2,206,300,32100,25,2500
20,32740,CBPF-SSD-24-S-INGO-32740,2,2024,1,206,200,90000,0,0
20,32743,CBPF-SSD-24-S-INGO-32743,2,2024,2,206,60,3000,0,0
20,32743,CBPF-SSD-24-S-INGO-32743,2,2024,2,201,270,4590,0,0
20,32755,CBPF-SSD-24-S-NGO-32755,1,2024,1,206,300,45000,0,0
20,32757,CBPF-SSD-24-S-UN-32757,3,2024,3,210,2880,111840,0,0
20,32757,CBPF-SSD-24-S-UN-32757,3,2024,2,210,11520,153600,5346,72000
20,32758,CBPF-SSD-24-S-NGO-32758,1,2024,1,206,470,47000,86,0
20,32758,CBPF-SSD-24-S-NGO-32758,1,2024,1,206,50,5000,17,0
20,32759,CBPF-SSD-24-S-INGO-32759,2,2024,2,206,150,10500,0,0
20,32760,CBPF-SSD-24-S-INGO-32760,2,2024,5,210,1200,22290,0,0
20,32772,CBPF-SSD-24-S-INGO-32772,2,2024,1,206,1500,105000,0,0
20,32777,CBPF-SSD-24-S-INGO-32777,2,2024,2,202,40000,604800,40000,604800
20,32795,CBPF-SSD-24-S-INGO-32795,2,2024,4,207,3600,14040,1800,2340
20,32827,CBPF-SSD-24-S-INGO-32827,2,2024,2,210,16250,151250,0,0
20,32827,CBPF-SSD-24-S-INGO-32827,2,2024,1,207,7000,26000,0,0
20,32827,CBPF-SSD-24-S-INGO-32827,2,2024,2,202,7000,70000,0,0
20,32827,CBPF-SSD-24-S-INGO-32827,2,2024,3,202,23000,230000,0,0
20,32827,CBPF-SSD-24-S-INGO-32827,2,2024,4,202,2000,90000,0,0
20,32831,CBPF-SSD-24-S-NGO-32831,1,2024,1,206,80,21812,0,0
20,32831,CBPF-SSD-24-S-NGO-32831,1,2024,3,206,253,13812,0,0
20,32832,CBPF-SSD-24-S-NGO-32832,1,2024,1,202,4032,53760,0,0
20,32834,CBPF-SSD-24-S-INGO-32834,2,2024,2,206,350,35000,0,0
20,32844,CBPF-SSD-24-S-NGO-32844,1,2024,1,206,220,21000,110,11000
20,32844,CBPF-SSD-24-S-NGO-32844,1,2024,1,206,50,10000,17,3400
20,32847,CBPF-SSD-24-S-INGO-32847,2,2024,2,206,50,6000,0,0
20,32847,CBPF-SSD-24-S-INGO-32847,2,2024,3,210,1050,59500,0,0
20,32847,CBPF-SSD-24-S-INGO-32847,2,2024,2,202,4200,90000,0,0
20,32851,CBPF-SSD-24-S-INGO-32851,2,2024,2,206,150,10500,0,0
20,32852,CBPF-SSD-24-S-NGO-32852,1,2024,2,206,150,15000,0,0
20,32856,CBPF-SSD-24-S-NGO-32856,1,2024,5,206,40,4000,0,0
20,32865,CBPF-SSD-24-S-INGO-32865,2,2024,2,206,150,18000,0,0
20,32865,CBPF-SSD-24-S-INGO-32865,2,2024,3,210,3600,55650,0,0
20,32875,CBPF-SSD-24-S-INGO-32875,2,2024,1,202,21000,514500,0,0
20,32883,CBPF-SSD-24-S-INGO-32883,2,2024,1,206,190,57000,0,0
20,32887,CBPF-SSD-24-S-NGO-32887,1,2024,2,202,11520,51120,0,0
20,32892,CBPF-SSD-24-S-NGO-32892,1,2024,2,202,640,201600,0,0
20,32893,CBPF-SSD-24-S-UN-32893,3,2024,2,210,1350,540000,0,0
20,32894,CBPF-SSD-24-S-INGO-32894,2,2024,2,202,18000,390000,0,0
20,32896,CBPF-SSD-24-S-INGO-32896,2,2024,1,210,18000,540000,0,0
20,32896,CBPF-SSD-24-S-INGO-32896,2,2024,3,207,6000,300000,0,0
20,32896,CBPF-SSD-24-S-INGO-32896,2,2024,5,206,60,6000,0,0
20,32919,CBPF-SSD-24-S-NGO-32919,1,2024,2,206,112,11200,0,0
20,32921,CBPF-SSD-24-S-INGO-32921,2,2024,3,206,150,54000,0,0
20,32921,CBPF-SSD-24-S-INGO-32921,2,2024,3,206,40,2000,0,0
20,32948,CBPF-SSD-24-S-INGO-32948,2,2024,1,206,572,100901,,
20,32948,CBPF-SSD-24-S-INGO-32948,2,2024,1,201,250,100000,,
20,32948,CBPF-SSD-24-S-INGO-32948,2,2024,1,202,1722,13232,,
20,33937,CBPF-SSD-24-R-NGO-33937,1,2024,2,210,23533,274540,0,0
20,34646,CBPF-SSD-24-R-NGO-34646,1,2024,1,206,250,25000,0,0
20,34649,CBPF-SSD-24-R-NGO-34649,1,2024,2,206,100,8000,0,0
20,34656,CBPF-SSD-24-R-NGO-34656,1,2024,2,210,3612,48160,0,0
20,34661,CBPF-SSD-24-R-INGO-34661,2,2024,3,210,1650,41250,0,0
20,34943,CBPF-SSD-25-R-NGO-34943,1,2025,2,210,3612,48160,0,0
20,34944,CBPF-SSD-25-R-NGO-34944,1,2025,2,206,100,8000,0,0
20,34949,CBPF-SSD-25-R-INGO-34949,2,2025,3,210,1650,41250,0,0
20,35132,CBPF-SSD-25-R-NGO-35132,1,2025,2,206,1800,30600,0,0
21,25013,CBPF-SOM-23-S-NGO-25013,1,2023,3,93,315,56700,315,56700
21,25016,CBPF-SOM-23-S-NGO-25016,1,2023,2,90,600,120000,600,120000
21,25018,CBPF-SOM-23-S-NGO-25018,1,2023,2,93,900,120000,900,135000
21,25019,CBPF-SOM-23-S-NGO-25019,1,2023,2,93,425,85000,425,85000
21,25020,CBPF-SOM-23-S-NGO-25020,1,2023,3,93,500,97500,500,97500
21,25022,CBPF-SOM-23-S-NGO-25022,1,2023,2,93,875,50000,0,0
21,25031,CBPF-SOM-23-S-NGO-25031,1,2023,3,93,500,50000,0,0
21,25031,CBPF-SOM-23-S-NGO-25031,1,2023,3,93,970,19400,0,0
21,25050,CBPF-SOM-23-S-NGO-25050,1,2023,3,90,200,36000,200,36000
21,25062,CBPF-SOM-23-S-INGO-25062,2,2023,2,93,200,42000,0,0
21,25062,CBPF-SOM-23-S-INGO-25062,2,2023,4,9,2550,27293,0,0
21,25062,CBPF-SOM-23-S-INGO-25062,2,2023,5,9,15615,67500,0,0
21,25067,CBPF-SOM-23-S-NGO-25067,1,2023,5,93,100,4500,100,4500
21,25076,CBPF-SOM-23-S-NGO-25076,1,2023,3,9,200,14400,200,14400
21,25077,CBPF-SOM-23-S-NGO-25077,1,2023,2,90,375,45000,0,0
21,25081,CBPF-SOM-23-S-NGO-25081,1,2023,4,93,500,25000,0,0
21,25086,CBPF-SOM-23-S-NGO-25086,1,2023,5,9,12000,162000,0,0
21,25088,CBPF-SOM-23-S-NGO-25088,1,2023,3,93,400,40000,0,0
21,25088,CBPF-SOM-23-S-NGO-25088,1,2023,1,93,1200,72000,0,0
21,25091,CBPF-SOM-23-S-NGO-25091,1,2023,2,93,400,16000,0,0
21,25091,CBPF-SOM-23-S-NGO-25091,1,2023,5,93,300,39000,0,0
21,25096,CBPF-SOM-23-S-NGO-25096,1,2023,3,93,300,45000,300,45000
21,25100,CBPF-SOM-23-S-NGO-25100,1,2023,3,93,600,60000,0,0
21,25113,CBPF-SOM-23-S-NGO-25113,1,2023,4,90,2700,54000,0,0
21,25116,CBPF-SOM-23-S-NGO-25116,1,2023,1,6,300,108000,0,0
21,25118,CBPF-SOM-23-S-NGO-25118,1,2023,3,90,100,12000,0,0
21,25131,CBPF-SOM-23-S-INGO-25131,2,2023,2,93,650,66300,650,66300
21,25132,CBPF-SOM-23-S-NGO-25132,1,2023,5,9,3300,54450,3600,59400
21,25146,CBPF-SOM-23-S-NGO-25146,1,2023,5,9,6000,81000,0,0
21,25154,CBPF-SOM-23-S-O-25154,4,2023,4,9,1500,45000,0,0
21,25156,CBPF-SOM-23-S-INGO-25156,2,2023,2,93,500,76500,500,500
21,25161,CBPF-SOM-23-S-INGO-25161,2,2023,4,9,18000,84000,0,0
21,25161,CBPF-SOM-23-S-INGO-25161,2,2023,3,9,149,21000,0,0
21,25174,CBPF-SOM-23-S-INGO-25174,2,2023,3,90,319,75250,0,0
21,25176,CBPF-SOM-23-S-NGO-25176,1,2023,5,9,9000,121500,0,0
21,25208,CBPF-SOM-23-R-INGO-25208,2,2023,3,9,540,15100,540,14950
21,25208,CBPF-SOM-23-R-INGO-25208,2,2023,4,9,15000,53540,15000,52560
21,26534,CBPF-SOM-23-R-NGO-26534,1,2023,2,7,874,113620,874,113620
21,26541,CBPF-SOM-23-R-INGO-26541,2,2023,5,9,6000,29700,6510,28740
21,26547,CBPF-SOM-23-R-NGO-26547,1,2023,2,3,6000,210000,6000,140000
21,26549,CBPF-SOM-23-R-NGO-26549,1,2023,5,9,20400,138720,20400,138720
21,26553,CBPF-SOM-23-R-NGO-26553,1,2023,3,7,250,18750,250,18750
21,26554,CBPF-SOM-23-R-NGO-26554,1,2023,3,7,200,10000,200,10000
21,26561,CBPF-SOM-23-R-NGO-26561,1,2023,2,3,6000,288000,7200,288000
21,26578,CBPF-SOM-23-R-NGO-26578,1,2023,1,7,1000,85000,1000,85000
