ChfId,ChfProjectCode,PooledFundId,ClstrId,GlbIndicId,GlbIndicType,TgtM,TgtW,TgtB,TgtG,TgtTotal,AchM,AchW,AchB,AchG,AchTotal
24494,CBPF-UKR-23-R-INGO-24494,1,1,53,1,,,,,0.2,,,,,0.021643906
24503,CBPF-UKR-23-R-UN-24503,1,1,74,1,0.079277801,0.046532622,,0.074189577,0.2,0.017070168,0.007796471,,0.026754206,0.051620845
24507,CBPF-UKR-23-R-NGO-24507,1,1,70,2,61,894,304,18,1277,25,422,95,0,542
24507,CBPF-UKR-23-R-NGO-24507,1,1,29,1,0.008835905,0.0457223,0.13029453,0.015147265,0.2,0.003085554,0.017671809,0.014025245,0.005329593,0.040112202
24510,CBPF-UKR-23-R-INGO-24510,1,1,55,2,0.161399788,,0.038600212,,0.2,0.017179215,,0.018663839,,0.035843054
24513,CBPF-UKR-23-R-INGO-24513,1,1,21,2,,,,,0.2,,,,,0.052809749
24513,CBPF-UKR-23-R-INGO-24513,1,1,61,1,642,75,796,,1513,203,15,107,0,325
24527,CBPF-OPT-23-S-INGO-24527,1,1,77,2,,,,0.2,0.2,,,,0.013402062,0.013402062
24527,CBPF-OPT-23-S-INGO-24527,1,1,59,2,0.086607143,0.055357143,0.007780612,0.050255102,0.2,0.001658163,0.012755102,0.003571429,0.00255102,0.020535714
24527,CBPF-OPT-23-S-INGO-24527,1,1,47,1,,47,624,960,1631,0,3,13,302,318
24527,CBPF-OPT-23-S-INGO-24527,1,1,2,1,,0.2,,,0.2,,0.092724679,,,0.092724679
24527,CBPF-OPT-23-S-INGO-24527,1,1,70,1,177,812,585,923,2497,28,207,172,266,673
24527,CBPF-OPT-23-S-INGO-24527,1,1,36,1,0.107100086,0.05320787,0.039692044,,0.2,0.006843456,0.015568862,0.013515825,,0.035928144
24531,CBPF-OPT-23-S-INGO-24531,1,1,14,2,,,,,0.2,,,,,0.016442451
24532,CBPF-TUR-23-R-NGO-24532,1,1,25,2,0.105487805,0.002439024,0.092073171,,0.2,0.032804878,0.000609756,0.037195122,,0.070609756
24536,CBPF-TUR-23-R-NGO-24536,1,1,40,1,0.2,,,,0.2,0.031362468,,,,0.031362468
24538,CBPF-OPT-23-S-INGO-24538,1,1,48,2,0.046990932,,0.153009068,,0.2,0.011046991,,0.040560594,,0.051607585
24538,CBPF-OPT-23-S-INGO-24538,1,1,8,1,148,480,163,18,809,14,111,30,5,160
24538,CBPF-OPT-23-S-INGO-24538,1,1,49,2,0.035797665,0.012062257,0.107652399,0.044487678,0.2,0.006355383,0.002075227,0.030869001,0.005058366,0.044357977
24538,CBPF-OPT-23-S-INGO-24538,1,1,38,2,,864,,,864,0,387,0,0,387
24543,CBPF-TUR-23-R-NGO-24543,1,1,22,2,,,,,2660,0,0,0,0,197
24543,CBPF-TUR-23-R-NGO-24543,1,1,7,2,766,750,515,335,2366,176,269,154,58,657
24547,CBPF-TUR-23-R-NGO-24547,1,1,65,1,0.0831643,0.100338066,,0.016497634,0.2,0.030425963,0.034617985,,0.001487492,0.06653144
24547,CBPF-TUR-23-R-NGO-24547,1,1,24,2,,,,,0.07800312,,,,,0.2
24547,CBPF-TUR-23-R-NGO-24547,1,1,29,1,0.011943662,0.078197183,0.04484507,0.065014085,0.2,0.005295775,0.024901408,0.012732394,0.025915493,0.06884507
24547,CBPF-TUR-23-R-NGO-24547,1,1,64,1,,0.2,,,0.2,,0.094318182,,,0.094318182
24551,CBPF-TUR-23-R-NGO-24551,1,1,67,2,,119,72,476,667,0,42,18,200,260
24551,CBPF-TUR-23-R-NGO-24551,1,1,46,1,,975,680,102,1757,0,478,119,44,641
24551,CBPF-TUR-23-R-NGO-24551,1,1,27,2,,,581,900,1481,0,0,120,393,513
24551,CBPF-TUR-23-R-NGO-24551,1,1,51,1,38,267,529,314,1148,17,118,4,113,252
24552,CBPF-OPT-23-S-INGO-24552,1,1,10,2,259,,943,,1202,18,0,308,0,326
24552,CBPF-OPT-23-S-INGO-24552,1,1,56,2,,0.086160714,0.067075893,0.046763393,0.2,,0.010714286,0.031696429,0.006919643,0.049330357
24552,CBPF-OPT-23-S-INGO-24552,1,1,12,2,,,,,775,0,0,0,0,788
24552,CBPF-OPT-23-S-INGO-24552,1,1,72,2,0.00208605,0.122033898,,0.075880052,0.2,0.000521512,0.022816167,,0.031029987,0.054367666
24552,CBPF-OPT-23-S-INGO-24552,1,1,34,1,628,100,117,700,1545,100,46,26,227,399
24554,CBPF-TUR-23-R-NGO-24554,1,1,53,2,,,,,0.2,,,,,0.015533044
24554,CBPF-TUR-23-R-NGO-24554,1,1,41,2,0.115891892,,,0.084108108,0.2,0.030702703,,,0.026810811,0.057513514
24562,CBPF-TUR-23-R-NGO-24562,1,1,6,1,,,930,88,1018,0,0,203,40,243
24562,CBPF-TUR-23-R-NGO-24562,1,1,37,1,0.064446166,,0.135553834,,0.2,0.009450039,,0.047869868,,0.057319907
24562,CBPF-TUR-23-R-NGO-24562,1,1,34,1,861,148,50,449,1508,233,6,1,28,268
24563,CBPF-TUR-23-R-NGO-24563,1,1,68,1,741,537,,,1278,96,266,0,0,362
24563,CBPF-TUR-23-R-NGO-24563,1,1,42,2,0.145905334,,0.033809166,0.0202855,0.2,0.047182569,,0.016078137,0.004507889,0.067768595
24563,CBPF-TUR-23-R-NGO-24563,1,1,5,2,0.096664902,,0.076442562,0.026892536,0.2,0.009528851,,0.010587612,0.007623081,0.027739545
24563,CBPF-TUR-23-R-NGO-24563,1,1,7,2,660,799,826,323,2608,78,164,81,22,345
24563,CBPF-TUR-23-R-NGO-24563,1,1,41,2,0.031569966,,,0.168430034,0.2,0.00443686,,,0.056484642,0.060921502
24569,CBPF-TUR-23-R-NGO-24569,1,1,33,1,0.046808511,,0.079432624,0.073758865,0.2,0.003309693,,0.01536643,0.011702128,0.030378251
24570,CBPF-TUR-23-R-INGO-24570,1,1,4,1,,0.027138643,0.058171091,0.114690265,0.2,,0.008967552,0.019351032,0.054277286,0.08259587
24570,CBPF-TUR-23-R-INGO-24570,1,1,77,1,,,,0.2,0.2,,,,0.070967742,0.070967742
24573,CBPF-TUR-23-R-NGO-24573,1,1,29,2,0.084851485,0.014455446,0.011485149,0.089207921,0.2,0.021089109,0.003960396,0.003663366,0.015544554,0.044257426
24573,CBPF-TUR-23-R-NGO-24573,1,1,13,1,,,,,0.2,,,,,0.022388717
24574,CBPF-TUR-23-R-NGO-24574,1,1,36,1,0.069681742,0.034394193,0.095924065,,0.2,0.014070352,0.007928532,0.043774428,,0.065773311
24574,CBPF-TUR-23-R-NGO-24574,1,1,35,1,527,382,508,,1417,122,141,129,0,392
24574,CBPF-TUR-23-R-NGO-24574,1,1,50,2,0.046917534,0.048839071,0.076861489,0.027381906,0.2,0.016733387,0.020656525,0.009127302,0.01184948,0.058366693
24574,CBPF-TUR-23-R-NGO-24574,1,1,48,1,0.034165834,,0.165834166,,0.2,0.009390609,,0.07992008,,0.089310689
24578,CBPF-TUR-23-R-NGO-24578,1,1,7,2,82,411,216,249,958,28,59,2,107,196
24578,CBPF-TUR-23-R-NGO-24578,1,1,30,2,634,464,,,1098,115,57,0,0,172
24578,CBPF-TUR-23-R-NGO-24578,1,1,19,1,,,,,0.2,,,,,0.02753499
24581,CBPF-TUR-23-R-NGO-24581,1,1,66,1,691,,956,,1647,343,0,334,0,677
24581,CBPF-TUR-23-R-NGO-24581,1,1,56,2,,0.005522682,0.085207101,0.109270217,0.2,,0.000394477,0.00433925,0.045627876,0.050361604
24581,CBPF-TUR-23-R-NGO-24581,1,1,42,2,0.053469852,,0.050739477,0.095790671,0.2,0.013196815,,0.020705347,0.003640501,0.037542662
24581,CBPF-TUR-23-R-NGO-24581,1,1,45,2,311,,710,423,1444,136,0,210,105,451
24581,CBPF-TUR-23-R-NGO-24581,1,1,17,2,,,,,0.130829016,,,,,0.2
24581,CBPF-TUR-23-R-NGO-24581,1,1,40,1,0.2,,,,0.2,0.050933041,,,,0.050933041
24581,CBPF-TUR-23-R-NGO-24581,1,1,37,2,0.0720422,,0.1279578,,0.2,0.007987943,,0.033308214,,0.041296157
24581,CBPF-TUR-23-R-NGO-24581,1,1,49,1,0.056968464,0.0643608,0.012004069,0.066666667,0.2,0.005289929,0.004476094,0.003730078,0.02882333,0.04231943
24585,CBPF-TUR-23-R-NGO-24585,1,1,24,2,,,,,0.2,,,,,0.026797386
24585,CBPF-TUR-23-R-NGO-24585,1,1,4,1,,0.081400137,0.055319149,0.063280714,0.2,,0.029649966,0.025669183,0.007275223,0.062594372
24585,CBPF-TUR-23-R-NGO-24585,1,1,11,2,,,,,0.2,,,,,0.00696068
24585,CBPF-TUR-23-R-NGO-24585,1,1,41,2,0.13363029,,,0.06636971,0.2,0.063103192,,,0.014402376,0.077505568
24586,CBPF-TUR-23-R-NGO-24586,1,1,78,1,517,170,902,146,1735,198,4,15,45,262
24586,CBPF-TUR-23-R-NGO-24586,1,1,51,2,236,631,891,699,2457,115,210,355,210,890
24586,CBPF-TUR-23-R-NGO-24586,1,1,57,2,976,,,711,1687,63,0,0,183,246
24586,CBPF-TUR-23-R-NGO-24586,1,1,32,1,,,123,,123,0,0,31,0,31
24586,CBPF-TUR-23-R-NGO-24586,1,1,62,2,,0.076294278,0.082833787,0.040871935,0.2,,0.033242507,0.032697548,0.005449591,0.071389646
24588,CBPF-TUR-23-R-NGO-24588,1,1,54,2,791,,716,96,1603,367,0,272,40,679
24588,CBPF-TUR-23-R-NGO-24588,1,1,67,2,,710,149,93,952,0,79,64,25,168
24588,CBPF-TUR-23-R-NGO-24588,1,1,19,2,,,,,0.2,,,,,0.03956044
24588,CBPF-TUR-23-R-NGO-24588,1,1,34,1,39,938,436,934,2347,14,370,32,134,550
24588,CBPF-TUR-23-R-NGO-24588,1,1,76,1,96,983,127,,1206,3,197,50,0,250
24588,CBPF-TUR-23-R-NGO-24588,1,1,54,1,593,,502,411,1506,119,0,193,40,352
24588,CBPF-TUR-23-R-NGO-24588,1,1,58,1,,0.002638522,0.113588391,0.083773087,0.2,,0.000791557,0.053693931,0.02585752,0.080343008
24588,CBPF-TUR-23-R-NGO-24588,1,1,30,2,930,656,,,1586,382,138,0,0,520
24588,CBPF-TUR-23-R-NGO-24588,1,1,75,1,67,922,884,,1873,30,417,187,0,634
24589,CBPF-TUR-23-R-NGO-24589,1,1,25,2,0.080724876,0.107578254,0.01169687,,0.2,0.005601318,0.002800659,0.000823723,,0.0092257
24589,CBPF-TUR-23-R-NGO-24589,1,1,16,2,,,,,920,0,0,0,0,182
24589,CBPF-TUR-23-R-NGO-24589,1,1,54,2,900,,151,777,1828,362,0,62,166,590
24589,CBPF-TUR-23-R-NGO-24589,1,1,52,1,,783,703,397,1883,0,4,156,75,235
24590,CBPF-TUR-23-R-INGO-24590,1,1,56,2,,0.086997389,0.074255875,0.038746736,0.2,,0.020365535,0.004281984,0.017441253,0.042088773
24591,CBPF-OPT-23-S-INGO-24591,1,1,15,2,,,,,330,0,0,0,0,959
24591,CBPF-OPT-23-S-INGO-24591,1,1,46,2,,912,798,485,2195,0,397,268,147,812
24592,CBPF-OPT-23-S-INGO-24592,1,1,52,1,,488,871,492,1851,0,172,271,116,559
24592,CBPF-OPT-23-S-INGO-24592,1,1,75,2,417,979,372,,1768,14,203,44,0,261
24592,CBPF-OPT-23-S-INGO-24592,1,1,16,1,,,,,860,0,0,0,0,497
24597,CBPF-TUR-23-R-NGO-24597,1,1,31,2,0.074056967,,0.067667436,0.058275597,0.2,0.029484219,,0.013240955,0.009314858,0.052040031
24599,CBPF-TUR-23-R-NGO-24599,1,1,20,1,,,,,0.2,,,,,0.135897436
24599,CBPF-TUR-23-R-NGO-24599,1,1,77,1,,,,0.2,0.2,,,,0.018430884,0.018430884
24599,CBPF-TUR-23-R-NGO-24599,1,1,78,2,205,970,648,424,2247,84,143,279,14,520
24599,CBPF-TUR-23-R-NGO-24599,1,1,58,1,,0.061247444,0.100511247,0.038241309,0.2,,0.012474438,0.002147239,0.016462168,0.031083845
24605,CBPF-TUR-23-R-INGO-24605,1,1,5,1,0.144608223,,0.046858029,0.008533747,0.2,0.054150504,,0.018308766,0.000930954,0.073390225
24605,CBPF-TUR-23-R-INGO-24605,1,1,54,2,960,,672,15,1647,103,0,63,6,172
24605,CBPF-TUR-23-R-INGO-24605,1,1,52,1,,447,308,150,905,0,176,121,57,354
24606,CBPF-OPT-23-S-INGO-24606,1,1,13,1,,,,,0.2,,,,,0.130917874
24606,CBPF-OPT-23-S-INGO-24606,1,1,64,2,,0.2,,,0.2,,0.000309598,,,0.000309598
24606,CBPF-OPT-23-S-INGO-24606,1,1,17,2,,,,,0.2,,,,,0.028302409
24606,CBPF-OPT-23-S-INGO-24606,1,1,3,2,,0.092079208,,0.107920792,0.2,,0.004125413,,0.024257426,0.028382838
24606,CBPF-OPT-23-S-INGO-24606,1,1,74,2,0.048578811,0.082428941,,0.068992248,0.2,0.011369509,0.020671835,,0.005943152,0.037984496
24607,CBPF-TUR-23-R-NGO-24607,1,1,21,2,,,,,0.2,,,,,0.014323607
24607,CBPF-TUR-23-R-NGO-24607,1,1,60,1,0.112101911,,0.070191083,0.017707006,0.2,0.044458599,,0.022292994,0.007261146,0.074012739
24607,CBPF-TUR-23-R-NGO-24607,1,1,68,2,544,875,,,1419,255,93,0,0,348
24607,CBPF-TUR-23-R-NGO-24607,1,1,24,1,,,,,0.094412331,,,,,0.2
24607,CBPF-TUR-23-R-NGO-24607,1,1,62,1,,0.080933409,0.063403529,0.055663062,0.2,,0.003642573,0.025725669,0.00011383,0.029482072
24607,CBPF-TUR-23-R-NGO-24607,1,1,29,1,0.042805755,0.07778777,0.051888489,0.027517986,0.2,0.009442446,0.002158273,0.000719424,0.010071942,0.022392086
24609,CBPF-TUR-23-R-NGO-24609,1,1,32,2,,,145,,145,0,0,0,0,122
24610,CBPF-TUR-23-R-INGO-24610,1,1,50,1,0.057699805,0.051929825,0.016452242,0.073918129,0.2,0.028148148,0.001325536,0.00662768,0.007173489,0.043274854
24610,CBPF-TUR-23-R-INGO-24610,1,1,73,1,0.031943692,0.008229561,0.101570114,0.058256632,0.2,0.015701137,0.004006497,0.021223606,0.004547916,0.045479155
24610,CBPF-TUR-23-R-INGO-24610,1,1,42,1,0.075637394,,0.032011331,0.092351275,0.2,0.019830028,,0.014447592,0.02223796,0.056515581
24610,CBPF-TUR-23-R-INGO-24610,1,1,74,2,0.015802469,0.007160494,,0.177037037,0.2,0.004691358,0.002469136,,0.04345679,0.050617284
24616,CBPF-TUR-23-R-NGO-24616,1,1,69,1,0.022992392,0.167202029,0.009805579,,0.2,0.009467456,0.033305156,0.001183432,,0.043956044
24616,CBPF-TUR-23-R-NGO-24616,1,1,5,1,0.079212454,,0.051923077,0.068864469,0.2,0.027106227,,0.004761905,0.002380952,0.034249084
24617,CBPF-TUR-23-R-NGO-24617,1,1,23,1,,,,,0.2,,,,,0.003657567
24617,CBPF-TUR-23-R-NGO-24617,1,1,74,1,0.047890536,0.139566705,,0.012542759,0.2,0.008665906,0.009806157,,0.000912201,0.019384265
24617,CBPF-TUR-23-R-NGO-24617,1,1,54,2,229,,302,429,960,5,0,2,176,183
24617,CBPF-TUR-23-R-NGO-24617,1,1,55,1,0.099385818,,0.100614182,,0.2,0.04946957,,0.045672808,,0.095142379
24617,CBPF-TUR-23-R-NGO-24617,1,1,33,1,0.082382445,,0.102821317,0.014796238,0.2,0.038369906,,0.030344828,0.006520376,0.07523511
24617,CBPF-TUR-23-R-NGO-24617,1,1,30,2,418,845,,,1263,5,40,0,0,45
24617,CBPF-TUR-23-R-NGO-24617,1,1,26,2,823,994,25,400,2242,162,428,9,91,690
24617,CBPF-TUR-23-R-NGO-24617,1,1,60,2,0.015931109,,0.107642626,0.076426265,0.2,0.001614639,,0.019483315,0.003552207,0.024650161
24617,CBPF-TUR-23-R-NGO-24617,1,1,36,2,0.061442695,0.065690223,0.072867082,,0.2,0.001977298,0.007689491,0.03471256,,0.044379348
24617,CBPF-TUR-23-R-NGO-24617,1,1,79,1,0.085595568,0.034441367,0.079963066,,0.2,0.006463527,0.003693444,0.029916898,,0.040073869
24617,CBPF-TUR-23-R-NGO-24617,1,1,30,1,760,895,,,1655,316,5,0,0,321
24617,CBPF-TUR-23-R-NGO-24617,1,1,12,1,,,,,3435,0,0,0,0,469
24619,CBPF-TUR-23-R-INGO-24619,1,1,3,1,,0.057471264,,0.142528736,0.2,,0.016091954,,0.032512315,0.048604269
24619,CBPF-TUR-23-R-INGO-24619,1,1,33,1,0.057188245,,0.055599682,0.087212073,0.2,0.008737093,,0.027164416,0.039396346,0.075297855
24619,CBPF-TUR-23-R-INGO-24619,1,1,24,2,,,,,0.2,,,,,0.015777778
24620,CBPF-TUR-23-R-NGO-24620,1,1,31,2,0.068306802,,0.01447178,0.117221418,0.2,0.025180897,,0.002315485,0.051808973,0.079305355
24623,CBPF-TUR-23-R-UN-24623,1,1,53,1,,,,,0.2,,,,,0.134408602
24636,CBPF-OPT-23-S-INGO-24636,1,1,2,2,,0.2,,,0.2,,0.020612813,,,0.020612813
24636,CBPF-OPT-23-S-INGO-24636,1,1,30,1,113,622,,,735,23,175,0,0,198
24644,CBPF-TUR-23-R-NGO-24644,1,1,44,1,,0.034104046,0.083815029,0.082080925,0.2,,0.008381503,0.03150289,0.003757225,0.043641618
24644,CBPF-TUR-23-R-NGO-24644,1,1,19,1,,,,,0.2,,,,,0.053679285
24644,CBPF-TUR-23-R-NGO-24644,1,1,25,1,0.048838594,0.106372841,0.044788565,,0.2,0.003573556,0.04276355,0.017033949,,0.063371054
24648,CBPF-TUR-23-R-NGO-24648,1,1,6,1,,,360,599,959,0,0,45,285,330
24648,CBPF-TUR-23-R-NGO-24648,1,1,34,1,732,576,700,75,2083,223,164,87,31,505
24648,CBPF-TUR-23-R-NGO-24648,1,1,32,1,,,294,,294,0,0,21,0,21
24648,CBPF-TUR-23-R-NGO-24648,1,1,42,1,0.025103907,,0.068162926,0.106733167,0.2,0.000831255,,0.000997506,0.012967581,0.014796342
24654,CBPF-OPT-23-S-NGO-24654,1,1,35,1,217,927,760,,1904,0,275,122,0,397
24654,CBPF-OPT-23-S-NGO-24654,1,1,50,1,0.05512,0.07512,0.04656,0.0232,0.2,0.01536,0.01352,0.02016,0.00064,0.04968
24654,CBPF-OPT-23-S-NGO-24654,1,1,34,2,527,916,778,907,3128,40,317,119,100,576
24654,CBPF-OPT-23-S-NGO-24654,1,1,14,1,,,,,0.2,,,,,0.021988369
24654,CBPF-OPT-23-S-NGO-24654,1,1,12,1,,,,,3967,0,0,0,0,817
24654,CBPF-OPT-23-S-NGO-24654,1,1,77,2,,,,0.2,0.2,,,,0.011504425,0.011504425
24654,CBPF-OPT-23-S-NGO-24654,1,1,35,1,20,643,638,,1301,9,287,252,0,548
24654,CBPF-OPT-23-S-NGO-24654,1,1,41,2,0.013362541,,,0.186637459,0.2,0.003504929,,,0.027601314,0.031106243
24654,CBPF-OPT-23-S-NGO-24654,1,1,64,1,,0.2,,,0.2,,0.069416499,,,0.069416499
24654,CBPF-OPT-23-S-NGO-24654,1,1,15,2,,,,,1022,0,0,0,0,17
24654,CBPF-OPT-23-S-NGO-24654,1,1,50,1,0.075110271,0.045872716,0.040075614,0.038941399,0.2,0.015122873,0.014996849,0.004284814,0.013484562,0.047889099
24654,CBPF-OPT-23-S-NGO-24654,1,1,60,2,0.037936772,,0.151580699,0.010482529,0.2,0.010981697,,0.019800333,0.00266223,0.03344426
24655,CBPF-OPT-23-S-INGO-24655,1,1,66,2,966,,569,,1535,300,0,193,0,493
24655,CBPF-OPT-23-S-INGO-24655,1,1,47,2,,124,742,396,1262,0,32,345,163,540
24655,CBPF-OPT-23-S-INGO-24655,1,1,61,1,465,446,103,,1014,215,23,7,0,245
24664,CBPF-OPT-23-S-NGO-24664,1,1,52,2,,144,514,595,1253,0,23,251,14,288
24665,CBPF-OPT-23-S-NGO-24665,1,1,5,2,0.081456044,,0.041620879,0.076923077,0.2,0.02032967,,0.015384615,0.013598901,0.049313187
24665,CBPF-OPT-23-S-NGO-24665,1,1,1,2,0.02741852,0.08308329,0.089498189,,0.2,0.001965856,0.039834454,0.024211071,,0.066011381
24665,CBPF-OPT-23-S-NGO-24665,1,1,48,1,0.09254571,,0.10745429,,0.2,0.02883263,,0.0302391,,0.05907173
24665,CBPF-OPT-23-S-NGO-24665,1,1,74,2,0.02641844,0.058510638,,0.115070922,0.2,0.012943262,0.011702128,,0.010638298,0.035283688
24666,CBPF-OPT-23-S-INGO-24666,1,1,69,2,0.051470588,0.039366516,0.109162896,,0.2,0.002262443,0.01561086,0.047624434,,0.065497738
24671,CBPF-OPT-23-S-INGO-24671,1,1,62,1,,0.075105843,0.067993226,0.056900931,0.2,,0.028789162,0.012362405,0.012193057,0.053344623
