CHFId,EmergencyTypeId,EmergencyPercent
26924,1,100
26954,1,100
26956,1,100
25914,31,100
25918,31,100
25919,31,100
25932,31,100
25958,31,100
25961,31,100
25973,17,100
25996,17,100
25999,31,100
26007,17,100
26008,31,100
26010,31,100
26012,31,100
26013,31,100
26014,31,100
26015,31,100
26016,31,100
26017,17,100
26019,31,100
26021,31,100
26022,31,100
26023,31,100
26025,31,100
26026,31,100
26029,31,100
26030,31,100
26032,31,100
26033,31,100
26938,1,100
26298,30,100
26727,1,100
26729,1,100
26730,1,100
26733,1,100
26740,1,100
26940,1,100
26942,1,100
26947,1,100
26957,1,100
26299,6,100
26300,6,100
26301,6,100
26303,6,100
26305,6,100
26310,6,100
26319,6,100
26320,6,100
26322,6,100
26325,6,100
26327,6,100
26328,6,100
26330,6,100
26333,6,100
26334,6,100
26337,6,100
26343,6,100
26348,6,100
26352,6,100
26353,6,100
26355,6,100
26359,6,100
26362,6,100
26363,6,100
26364,6,100
26367,6,100
26376,6,100
26377,6,100
26381,6,100
26384,6,100
26386,6,100
26387,6,100
26388,6,100
26389,6,100
26393,6,100
26395,6,100
26397,6,100
26407,6,100
26408,6,100
26420,6,100
26426,6,100
26427,6,100
26306,6,100
26308,6,100
26315,6,100
26326,6,100
26331,6,100
26339,6,100
26344,6,100
26346,6,100
26354,6,100
26357,6,100
26361,6,100
26365,6,100
26368,6,100
26371,6,100
26374,6,100
26390,6,100
26396,6,100
26402,6,100
26406,6,100
26409,6,100
26428,6,100
26435,6,100
26444,6,100
26453,6,100
26302,6,100
26304,6,100
26312,6,100
26313,6,100
26321,6,100
26329,6,100
26332,6,100
26347,6,100
26349,6,100
26372,6,100
26392,6,100
27990,27,38
27990,16,62
27991,16,100
28013,27,100
28017,16,100
28036,27,100
28066,16,100
28075,16,100
28084,27,100
28086,27,100
28087,27,38
28087,16,62
28093,16,100
28118,27,100
28145,27,100
28152,16,100
28153,27,100
28204,27,100
28205,27,100
28291,16,100
28003,16,60
28003,27,40
28012,16,100
28041,16,100
28050,16,100
28064,27,100
28065,16,100
28070,16,100
28094,27,100
28141,27,38
28141,16,62
28148,27,100
28158,27,70
28158,16,30
28195,27,75
28195,16,25
28217,27,10
28217,16,90
28218,27,78
28218,16,22
28220,16,100
27995,16,100
28069,16,84
28069,27,16
28099,27,55
28099,16,45
28161,27,28
28161,16,72
25722,16,100
25723,16,100
25724,16,100
25725,16,100
25730,16,100
25743,16,100
25747,16,100
25753,16,100
25761,16,100
25771,16,100
25776,16,100
25777,16,100
25780,16,100
25782,16,100
25784,16,100
25801,16,100
25811,16,100
25820,16,100
25821,16,100
25721,16,100
25727,16,100
25735,16,100
25749,16,100
25754,16,100
25778,16,100
25786,16,100
25805,16,100
25808,16,100
25814,16,100
25750,16,100
26102,16,100
27261,17,35
27261,15,35
27261,16,30
27266,16,100
26199,18,100
26202,16,100
26204,18,100
26205,18,100
26206,18,100
26210,18,100
26214,16,50
26214,17,50
26217,16,100
26227,16,100
26233,17,100
26253,18,100
26255,16,73
26255,18,27
26256,16,100
26261,18,100
26208,16,100
26209,16,80
26209,18,20
26212,18,100
26222,16,100
26232,16,100
26238,18,100
26242,16,100
26252,18,100
26265,16,50
26265,18,50
26266,18,100
26271,16,100
26277,18,100
26283,16,90
26283,17,5
26283,18,5
26272,16,100
27567,17,100
27574,17,100
27575,17,100
27569,17,100
27571,17,100
27577,17,100
27576,17,100
32989,18,100
32991,18,100
33002,18,100
33061,18,100
33075,18,100
33152,18,100
33182,18,100
33100,18,100
33123,18,100
33128,18,100
33136,18,100
33175,18,100
33177,18,100
33194,18,100
33203,18,100
33222,18,100
33235,18,100
33242,18,100
25278,5,100
25288,5,100
25341,5,100
26045,16,100
26123,16,100
26126,16,100
26136,16,100
26139,16,100
26143,16,100
26146,16,100
26147,16,100
26157,16,100
26160,16,100
26163,16,100
27207,16,100
27214,16,100
27223,16,100
27249,16,100
25282,5,100
25296,5,100
25322,5,100
26035,16,100
26038,16,100
26039,16,100
26041,16,100
26047,16,100
26088,16,100
26090,16,100
26127,16,100
26128,16,100
26137,16,100
26138,16,100
26144,16,100
26145,16,100
26151,16,100
26158,16,100
27206,16,100
27212,16,100
27231,16,100
27233,16,100
27238,16,100
27260,16,100
27262,16,100
27271,16,100
27315,16,100
27322,16,100
27327,16,100
27330,16,100
27332,16,100
26134,16,100
26095,16,100
26142,16,100
27578,17,100
27579,17,100
27580,17,100
27847,16,100
27870,17,80
27870,16,20
27900,16,100
27915,17,100
27918,16,100
27932,16,100
27934,16,100
27949,16,100
27953,16,100
27967,16,100
27977,16,100
27983,16,100
27811,16,100
27816,16,100
27819,16,100
27820,16,100
27829,16,100
27831,17,100
27834,17,100
27836,16,100
27861,16,100
27919,16,100
27939,16,100
28007,16,100
25466,27,90
25466,5,10
25470,27,80
25470,5,20
25499,27,100
25506,27,100
25520,27,100
25525,27,70
25525,5,30
25526,27,50
25526,5,50
25540,5,50
25540,27,50
25569,27,100
25575,27,100
25580,27,80
25580,5,20
25610,27,100
26879,17,100
26880,17,100
26881,17,100
26882,17,100
26883,17,100
25479,5,100
25502,27,100
25519,27,100
25581,27,50
25581,5,50
25596,27,100
26873,17,100
26874,17,100
26875,17,100
26876,17,100
26878,17,100
26877,17,100
25605,27,50
25605,5,50
26399,18,100
26456,18,100
26460,18,100
26463,18,100
26470,18,100
26477,18,100
26481,18,100
26482,18,100
26483,18,100
26484,18,100
26494,18,100
26504,18,100
26505,18,100
26515,18,100
26531,18,100
26538,18,100
26543,18,100
26567,18,100
26584,18,100
26592,18,100
26602,18,100
26610,18,100
26417,18,100
26429,18,100
26445,18,100
26446,18,100
26464,18,100
26468,18,100
26469,18,100
26530,18,100
26550,18,100
26636,18,100
33162,27,50
33162,16,50
33165,16,100
33178,16,100
33206,16,100
33226,16,100
33227,27,100
33249,16,100
33260,27,50
33260,16,50
33265,27,100
33266,27,100
33304,16,100
33328,16,50
33328,27,50
33329,16,100
33160,16,50
33160,27,50
33171,16,100
33197,27,100
33208,16,100
33209,27,100
33277,16,100
33292,16,100
33303,16,50
33303,27,50
27628,17,100
27630,27,100
27636,27,100
27663,27,100
27671,17,100
27683,27,100
27693,27,100
27695,17,100
27696,17,100
27700,27,100
27703,27,100
27724,27,100
27732,27,100
27747,27,100
27626,17,25
27626,27,75
27627,27,50
27627,17,50
27643,27,100
27645,27,100
27649,17,100
27650,27,100
27668,27,100
27680,27,80
27680,17,20
27686,27,100
27692,17,100
27702,17,100
27710,27,85
27710,17,15
27717,27,75
27717,17,25
27729,17,100
27735,17,100
27025,15,100
27026,15,100
27027,15,100
27028,15,100
27036,15,100
27053,15,100
27076,15,100
27024,15,100
27029,15,100
27033,15,100
27041,15,100
27059,15,100
25224,15,100
25228,15,100
25241,15,100
25256,15,100
25265,15,100
25308,15,100
25320,15,100
25359,15,100
25361,15,100
25375,15,100
25411,15,100
25413,15,100
25440,15,100
25446,15,100
25448,15,100
25450,15,100
25453,15,100
25246,15,100
25324,15,100
25347,15,100
25351,15,100
25367,15,100
25387,15,100
25390,15,100
25396,15,100
25397,15,100
25405,15,100
25409,15,100
25410,15,100
25428,15,100
25429,15,100
25449,15,100
25472,15,100
25481,15,100
25487,15,100
27841,16,100
27903,16,100
27905,16,100
27925,16,100
27957,16,100
27960,16,100
27974,16,100
27985,16,100
27988,16,100
28019,16,100
28135,16,100
28140,16,100
28206,16,100
28211,16,100
28215,16,100
28243,16,100
28250,16,100
28277,16,100
28284,16,100
28299,16,100
28315,16,100
28316,16,100
28336,16,100
27835,16,100
27912,16,100
27947,16,100
28055,16,100
28114,16,100
28202,16,100
28209,16,100
28226,16,100
28288,16,100
28296,16,100
28306,16,100
28312,16,100
28314,16,100
28335,16,100
26049,16,100
26050,16,100
26051,16,100
26052,16,100
26056,16,100
26066,16,100
26073,16,100
26078,16,100
26094,16,100
26101,16,100
25310,4,100
25314,4,100
25317,4,100
25336,4,100
27008,17,100
25701,4,100
25707,4,100
27009,17,100
25679,4,100
25691,4,100
25708,4,100
26297,16,100
25422,16,100
25454,16,100
25491,16,100
25521,16,100
25573,16,100
25574,16,100
25636,16,100
25640,16,100
25645,16,100
25650,16,100
25657,16,100
25658,16,100
25684,16,100
25692,16,100
25699,16,100
25709,16,100
26856,16,100
26857,16,100
26864,16,100
26884,16,100
26918,16,100
26978,16,100
27004,16,100
27013,16,100
25458,16,100
25459,16,100
25461,16,100
25488,16,100
25500,16,100
25550,16,100
25648,16,100
25677,16,100
25693,16,100
25700,16,100
26854,16,100
26920,16,100
26949,16,100
26950,16,100
26951,16,100
26982,16,100
27007,16,100
27014,16,100
25598,16,100
27833,16,100
27837,16,100
27856,16,100
27879,16,100
27840,16,100
27682,16,100
27691,16,100
27738,16,100
32657,17,100
32661,17,100
32703,17,100
32783,17,100
32793,17,100
32794,17,100
32799,17,100
32820,17,100
32821,17,100
32652,17,100
32656,17,100
32666,17,100
32670,17,100
32694,17,100
32732,17,100
32748,17,100
32790,17,100
32798,17,100
32801,17,100
32811,17,100
32816,17,100
32822,17,100
32824,17,100
27629,16,100
25887,16,100
25907,16,100
25910,16,100
25911,16,100
25925,16,100
25926,16,100
25928,16,100
25934,16,100
25941,16,100
25954,16,100
25956,16,100
25889,16,100
25894,16,100
25895,16,100
25898,16,100
25923,16,100
25936,16,100
27677,16,100
32650,16,60
32650,28,15
32650,31,25
32687,16,100
25680,27,100
25682,27,100
25695,27,100
25697,27,100
25706,27,100
25712,27,100
25713,27,100
25715,27,100
25746,27,100
25669,27,100
25671,27,100
25673,27,100
25675,27,100
25685,27,100
